id,length,ofdeg,gc,principal component 1,principal component 2,principal component 3
contig-1017000000,6972,-0.0804256100369886,0.345094664371773,-14.393935096851298,-5.46865043393214,1.5644644105847685
contig-1533000000,3010,-0.0688556210594915,0.401328903654485,-8.613750679661678,-3.9067899917199638,5.612714645359535
contig-1623000000,2487,-0.0690881291080587,0.425412143144351,-8.336706847749584,-4.011777896546827,8.758323872645429
contig-997000000,7210,-0.0792773388656112,0.634812760055478,14.245174956704517,-3.333724133465603,-0.8309432853579226
contig-2049000000,8249,-0.0925026448176225,0.29749060492180895,-14.06947564168663,1.1145835796361963,-6.245958907403266
contig-1510000000,3246,-0.0790056263078639,0.570548367221195,7.726192986084382,8.211537688842887,2.6253451096600404
contig-180000000,33668,-0.0664442683728358,0.488148984198646,0.2516574947286193,3.9462626645641046,0.2629865089293372
contig-981000000,7364,-0.0709036948615732,0.5422324823465511,5.453331125623922,2.818024239466539,0.5816868825370312
contig-555000000,13949,-0.0875166020075036,0.661266040576385,16.863067219841078,-4.533519383171757,-2.299719142021548
contig-975000000,7384,-0.0661198706130359,0.5013542795232939,2.156787477745001,5.0866784501040225,-0.47451963683653664
contig-3247000000,10255,-0.0835512522092944,0.633349585568016,14.88139341831644,-6.182356133114175,-1.1018390944331313
contig-1069000000,6314,-0.0747770162513517,0.35587583148558793,-12.615061214078805,-6.0774060037148825,2.9369073323671615
contig-2261000000,13984,-0.0955290079261343,0.680491990846682,17.68367828601395,-4.35442573163976,-3.12400529188358
contig-1480000000,3261,-0.0674304535604064,0.428702851885925,-7.387891662082833,-2.381821635153,9.117648769637027
contig-1013000000,7045,-0.0913741830892694,0.288857345635202,-15.396180165707948,0.9405263879484481,-11.06934589269202
contig-323000000,86302,-0.0830881058490938,0.321823364464323,-13.980520042118698,1.2334690793379937,-8.90868297820888
contig-1845000000,2214,-0.0817671691311375,0.33197831978319803,-13.365179151221625,0.40050298539404405,-5.064707075408554
contig-904000000,14376,-0.0750962061878003,0.383069003895381,-10.379036333702675,-4.656326260905481,3.875309543374729
contig-1270000000,4682,-0.0701341844868885,0.501495087569415,2.264416801585105,6.787218527207123,2.460792473573405
contig-1299000000,4420,-0.0756432839645807,0.555656108597285,6.595089539346686,9.650986264022345,3.2085966762224074
contig-1352000000,6655,-0.0789708861158936,0.373854244928625,-10.685685099042855,-3.893855127757897,2.7104104155296382
contig-1181000000,5514,-0.07933313425979499,0.341494377947044,-11.699096838744452,2.7264909609790755,-6.698599273953748
contig-441000000,16866,-0.0719331714348885,0.39920550219376294,-9.310489728544027,-3.3961968914903706,6.0039870434056795
contig-1683000000,2202,-0.0755956832159637,0.4663941871026339,-0.6960290902712326,9.22582298665862,4.590197397279121
contig-283000000,24754,-0.0674594299610731,0.521289488567504,3.233564001356927,4.05165366830643,-0.04466544150999017
contig-257000000,26255,-0.0705174920008071,0.42498571700628496,-5.899428857742252,1.8270680176912146,1.2395569740171521
contig-1144000000,5611,-0.0768628682716075,0.535020495455356,4.606220404644921,10.034284171427009,5.006958068664442
contig-784000000,9542,-0.0751589148253349,0.365961014462377,-12.299288502853072,-5.2755680921923975,3.340796955341008
contig-1671000000,2279,-0.06735247501407,0.400614304519526,-10.834273047561569,-3.571790470175479,6.029614503088595
contig-1798000000,1713,-0.0838315807513462,0.33274956217162893,-14.723494433051615,-0.212195490882737,-3.531521070666235
contig-1250000000,4835,-0.077562805588509,0.642605997931748,13.94985813655204,-2.9235331928069144,0.9656931878736298
contig-953000000,7574,-0.0759551575180888,0.5887245841035121,8.360351564549118,7.856197923846481,3.206759320577055
contig-1073000000,6298,-0.0708847191798368,0.39202921562400805,-9.878722590433942,-5.8234515054501665,5.634444974595553
contig-358000000,20470,-0.0873403816623795,0.661846604787494,16.137451213497233,-3.16856956879632,-3.864652237955339
contig-167000000,35485,-0.0673416281337369,0.5341975482598279,4.208007014720974,4.083623463426402,0.16033511426029995
contig-832000000,8929,-0.0725764284482552,0.38044573860454706,-11.280398757332103,-6.082433225070627,7.528776918351976
contig-266000000,35236,-0.0760602139365694,0.36244182086502397,-12.550282360534245,-5.012240058379863,2.3798036603493156
contig-2007000000,2110,-0.0664646682596209,0.48341232227488207,-2.0057994901535876,1.8796537342245874,4.82051615589724
contig-1524000000,3251,-0.0669580178215179,0.43463549677022495,-6.012360689395093,-1.0964698493733087,0.5856349119292295
contig-778000000,9579,-0.0683856721589132,0.524793819814177,3.7425788992465825,4.279574665090989,-0.3634111346163353
contig-451000000,16641,-0.0722706739736269,0.393606153476354,-10.193009982183534,-3.967945704473745,5.736514073267853
contig-1248000000,4856,-0.0749704285243304,0.360790774299835,-13.123700031475373,-4.358544740132927,1.266827810904168
contig-310000000,23134,-0.08166728670873,0.317109017031209,-14.072159014553868,2.0602013268040067,-9.523038146370757
contig-1048000000,6542,-0.0765677736954047,0.370834607153776,-12.165583044946247,-5.098529731089785,4.768637268756524
contig-592000000,12833,-0.0686945049207408,0.540949115561443,4.564920005178091,4.9409126530107015,1.3732575663691504
contig-1780000000,1751,-0.078402794565623,0.557395773843518,6.748750948147276,10.06777917960971,4.608212816889714
